"Id
===
Id
===
int-cs","过滤关键字
===
StrFilter
===
string-cs","过滤通道
===
Type
===
int-cs","过滤规则
===
Rule
===
int-cs"
10648,王刚,15,1
10649,王兆国,15,1
10650,刘淇,15,1
10651,贺国强,15,1
10652,郭伯雄,15,1
10653,胡耀邦,15,1
10654,连战,15,1
10655,宋楚瑜,15,1
10656,吕秀莲,15,1
10657,郁慕明,15,1
10658,蒋介石,15,1
10659,蒋中正,15,1
10660,蒋经国,15,1
10661,马英九,15,1
10662,布莱尔,15,1
10663,纯一郎,15,1
10664,萨马兰奇,15,1
10665,阿拉法特,15,1
10666,默克尔,15,1
10667,克林顿,15,1
10668,里根,15,1
10669,尼克松,15,1
10670,林肯,15,1
10671,杜鲁门,15,1
10672,赫鲁晓夫,15,1
10673,列宁,15,1
10674,斯大林,15,1
10675,马克思,15,1
10676,恩格斯,15,1
10677,金正日,15,1
10678,金日成,15,1
10679,胡志明,15,1
10680,西哈努克,15,1
10681,希拉克,15,1
10682,撒切尔,15,1
10683,阿罗约,15,1
10684,曼德拉,15,1
10685,卡斯特罗,15,1
10686,富兰克林,15,1
10687,华盛顿,15,1
10688,艾森豪威尔,15,1
10689,拿破仑,15,1
10690,亚历山大,15,1
10691,路易,15,1
10692,拉姆斯菲尔德,15,1
10693,劳拉,15,1
10694,鲍威尔,15,1
10695,本 拉登,15,1
10696,奥马尔,15,1
10697,达赖喇嘛,15,1
10698,江青,15,1
10699,张春桥,15,1
10700,姚文元,15,1
10701,王洪文,15,1
10702,冈村秀树,15,1
10703,冈村宁次,15,1
10704,高丽朴,15,1
10705,赵紫阳,15,1
10706,王丹,15,1
10707,沃尔开西,15,1
10708,李大师,15,1
10709,马加爵,15,1
10710,班禅,15,1
10711,额尔德尼,15,1
10712,阿扁,15,1
10713,鲁迅,15,1
10714,莎士比亚,15,1
10715,爱因斯坦,15,1
10716,牛顿,15,1
10717,哥白尼,15,1
10718,达·芬奇,15,1
10719,米开朗基罗,15,1
10720,毕加索,15,1
10721,梵高,15,1
10722,海明威,15,1
10723,斯蒂芬·霍金,15,1
10724,六四运动,15,1
10725,美国之音,15,1
10726,密宗,15,1
10727,民进党,15,1
10728,民运,15,1
10729,民主潮,15,1
10730,摩门教,15,1
10731,南华早报,15,1
10732,南蛮,15,1
10733,起义,15,1
10734,亲民党,15,1
10735,瘸腿帮,15,1
10736,打倒共产党,15,1
10737,台独万岁,15,1
10738,圣战,15,1
10739,示威,15,1
10740,台独分子,15,1
10741,台联,15,1
10742,台湾民国,15,1
10743,太子党,15,1
10744,屠杀,15,1
10745,新党,15,1
10746,疆独,15,1
10747,藏独,15,1
10748,学潮,15,1
10749,学运,15,1
10750,一党专政,15,1
10751,一贯道,15,1
10752,圆满,15,1
10753,造反,15,1
10754,政治反对派,15,1
10755,政治犯,15,1
10756,中国民主党,15,1
10757,中国之春,15,1
10758,共党,15,1
10759,苏家屯,15,1
10760,塔利班,15,1
10761,高治联,15,1
10762,高自联,15,1
10763,核工业基地,15,1
10764,核武器,15,1
10765,原子弹,15,1
10766,氢弹,15,1
10767,导弹,15,1
10768,核潜艇,15,1
10769,大参考,15,1
10770,小参考,15,1
10771,国内动态清样,15,1
10772,道教,15,1
10773,多维,15,1
10774,佛教,15,1
10775,佛祖,15,1
10776,释迦牟尼,15,1
10777,如来,15,1
10778,阿弥陀佛,15,1
10779,观世音,15,1
10780,普贤,15,1
10781,文殊,15,1
10782,地藏,15,1
10783,河殇,15,1
10784,穆罕默德,15,1
10785,升天,15,1
10786,圣母,15,1
10787,耶和华,15,1
10788,耶稣,15,1
10789,真主安拉,15,1
10790,白莲教,15,1
10791,天主教,15,1
10792,基督教,15,1
10793,东正教,15,1
10794,瘸腿帮,15,1
10795,真理教,15,1
10796,走向圆满,15,1
10797,黄大仙,15,1
10798,风水,15,1
10799,跳大神,15,1
10800,神汉,15,1
10801,神婆,15,1
10802,真理教,15,1
10803,大卫教,15,1
10804,阎王,15,1
10805,黑白无常,15,1
10806,牛头马面,15,1
10807,高丽棒子,15,1
10808,藏独,15,1
10809,回回,15,1
10810,疆独,15,1
10811,蒙古鞑子,15,1
10812,台独分子,15,1
10813,台联,15,1
10814,台湾民国,15,1
10815,老毛子,15,1
10816,南蛮,15,1
10817,谋杀,15,1
10818,贩毒,15,1
10819,赌博,15,1
10820,拐卖,15,1
10821,走私,15,1
10822,卖淫,15,1
10823,造反,15,1
10824,监狱,15,1
10825,先奸后杀,15,1
10826,安非他命,15,1
10827,大麻,15,1
10828,可卡因,15,1
10829,海洛因,15,1
10830,冰毒,15,1
10831,摇头丸,15,1
10832,杜冷丁,15,1
10833,鸦片,15,1
10834,罂粟,15,1
10835,迷幻药,15,1
10836,白粉,15,1
10837,嗑药,15,1
10838,雪山狮子旗,15,1
10839,赖昌星,15,1
10840,哥伦布,15,1
10841,达芬奇,15,1
10842,藏青会,15,1
10843,藏妇会,15,1
10844,台湾岛国,15,1
10845,台湾分裂,15,1
10846,西藏分裂,15,1
10847,新疆分裂,15,1
10848,铀,15,1
10849,回民吃猪肉,15,1
10850,烂鸟,15,1
10851,干到,15,1
10852,狗干,15,1
10853,骚B,15,1
10854,金久灵,15,1
10855,刘盾,15,1
10856,何悦,15,1
10857,性奴,15,1
10858,奥巴马,15,1
10859,习近平,15,1
10860,王岐山,15,1
10861,刘延东,15,1
10862,李克强,15,1
10863,李源潮,15,1
10864,汪洋,15,1
10865,张高丽,15,1
10866,徐才厚,15,1
10867,薄熙来,15,1
10868,乌云其木格,15,1
10869,韩启德,15,1
10870,周铁农,15,1
10871,李建国,15,1
10872,司马义·铁力瓦尔地,15,1
10873,蒋树声,15,1
10874,陈昌智,15,1
10875,严隽琪,15,1
10876,桑国卫,15,1
10877,廖晖,15,1
10878,杜青林,15,1
10879,阿沛·阿旺晋美,15,1
10880,帕巴拉·格列朗杰,15,1
10881,马万祺,15,1
10882,白立忱,15,1
10883,陈奎元,15,1
10884,阿不来提·阿不都热西提,15,1
10885,李兆焯,15,1
10886,黄孟复,15,1
10887,董建华,15,1
10888,张梅颖,15,1
10889,张榕明,15,1
10890,钱运录,15,1
10891,孙家正,15,1
10892,李金华,15,1
10893,郑万通,15,1
10894,邓朴方,15,1
10895,万钢,15,1
10896,林文漪,15,1
10897,厉无畏,15,1
10898,罗富和,15,1
10899,陈宗兴,15,1
10900,王志珍,15,1
10901,梁光烈,15,1
10902,马凯,15,1
10903,孟建柱,15,1
10904,戴秉国,15,1
10905,张平,15,1
10906,周济,15,1
